# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River Below Oxbow Bridge,AZ,33.3683,-114.7264,US/Mountain,,,,0,,,,stream,,LC,boblc,
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-05-04 00:00:00,7379.58,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-05-03 00:00:00,8922.29,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-05-02 00:00:00,9260.17,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-05-01 00:00:00,10042.5,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-30 00:00:00,11675.2,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-29 00:00:00,11580,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-28 00:00:00,10438,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-27 00:00:00,9074.88,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-26 00:00:00,10092.5,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-25 00:00:00,10033.1,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-24 00:00:00,10076.2,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-23 00:00:00,10866.1,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-22 00:00:00,10916.8,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-21 00:00:00,10599.6,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-20 00:00:00,9808.42,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-19 00:00:00,10758.7,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-18 00:00:00,11055.7,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-17 00:00:00,12143.4,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-16 00:00:00,11880.7,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-15 00:00:00,11847.4,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-14 00:00:00,10665.2,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-13 00:00:00,9286.62,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-12 00:00:00,9710.33,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-11 00:00:00,9696.12,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-10 00:00:00,10785.2,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-09 00:00:00,13714.3,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-08 00:00:00,11525.5,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-07 00:00:00,10920.3,cubic feet per second
