# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River Below Interstate Bridge,AZ,33.6006,-114.5497,US/Mountain,,,,0,,,,stream,,LC,biblc,
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-03 00:00:00,8449.96,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-02 00:00:00,8381.79,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-01 00:00:00,9317.46,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-30 00:00:00,10409.1,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-29 00:00:00,11208.5,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-28 00:00:00,10710.4,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-27 00:00:00,8060.29,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-26 00:00:00,9138.17,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-25 00:00:00,9736.71,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-24 00:00:00,9335.33,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-23 00:00:00,9902.67,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-22 00:00:00,10249.4,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-21 00:00:00,10214.2,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-20 00:00:00,8789.08,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-19 00:00:00,9868.38,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-18 00:00:00,10585.6,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-17 00:00:00,10803.6,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-16 00:00:00,11503.3,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-15 00:00:00,11102.2,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-14 00:00:00,10232.6,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-13 00:00:00,9098.42,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-12 00:00:00,9150.62,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-11 00:00:00,8930.33,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-10 00:00:00,9625.21,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-09 00:00:00,11388.2,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-08 00:00:00,12178.3,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-07 00:00:00,10655,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-06 00:00:00,7488.62,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-05 00:00:00,10957,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-04 00:00:00,10612.9,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-03 00:00:00,10428.1,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-02 00:00:00,9886.75,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-04-01 00:00:00,8978.25,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-31 00:00:00,9111.62,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-30 00:00:00,7848.5,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-29 00:00:00,9968.83,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-28 00:00:00,10167.5,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-27 00:00:00,9132.29,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-26 00:00:00,9662.17,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-25 00:00:00,10046.3,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-24 00:00:00,9329.08,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-23 00:00:00,5959.12,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-22 00:00:00,9593.17,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-21 00:00:00,8414.58,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-20 00:00:00,7598.92,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-19 00:00:00,9313.33,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-18 00:00:00,9777.79,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-17 00:00:00,9568.54,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-16 00:00:00,5053.38,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-15 00:00:00,7142.62,cubic feet per second
