# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River at Water Wheel,AZ,33.9206,-114.5356,US/Mountain,,,,0,,,,stream,,LC,wwlc,305.91
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-28 00:00:00,12319.6,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-27 00:00:00,10919.4,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-26 00:00:00,10176.6,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-25 00:00:00,11050.3,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-24 00:00:00,10528.8,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-23 00:00:00,10820.3,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-22 00:00:00,11566,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-21 00:00:00,11511.1,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-20 00:00:00,10933.4,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-19 00:00:00,10286.3,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-18 00:00:00,11336.5,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-17 00:00:00,11248.8,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-16 00:00:00,13071,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-15 00:00:00,12232,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-14 00:00:00,12564.3,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-13 00:00:00,11191.2,cubic feet per second
