# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River at Parker Gage,CA,34.1428,-114.3189,US/Pacific,,,,0,,,,stream,,LC,pglc,347.3
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River at Parker Gage,pglc,Streamflow,2018-04-27 00:00:00,13111.5,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-26 00:00:00,9420.79,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-25 00:00:00,11606.3,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-24 00:00:00,11677.8,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-23 00:00:00,11406,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-22 00:00:00,11825.2,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-21 00:00:00,12316.6,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-20 00:00:00,12405.7,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-19 00:00:00,10411.3,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-18 00:00:00,11822.5,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-17 00:00:00,12593.3,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-16 00:00:00,13081.1,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-15 00:00:00,13321.2,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-14 00:00:00,13501.4,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-13 00:00:00,12498.3,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-12 00:00:00,10485.3,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-11 00:00:00,11129.6,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-10 00:00:00,10510.4,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-09 00:00:00,11097.9,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-08 00:00:00,14760.7,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-07 00:00:00,12824.7,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-06 00:00:00,13234.4,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-05 00:00:00,8385.79,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-04 00:00:00,13676.9,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-03 00:00:00,12065,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-02 00:00:00,12416.2,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-04-01 00:00:00,11266.3,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-31 00:00:00,10161.4,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-30 00:00:00,10782.8,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-29 00:00:00,9051.58,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-28 00:00:00,12862,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-27 00:00:00,10202.9,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-26 00:00:00,10876.4,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-25 00:00:00,11203.8,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-24 00:00:00,12304.2,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-23 00:00:00,11394.5,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-22 00:00:00,7259.58,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-21 00:00:00,11223.5,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-20 00:00:00,9985.17,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-19 00:00:00,9237.42,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-18 00:00:00,10659.4,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-17 00:00:00,11374.3,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-16 00:00:00,11888.2,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-15 00:00:00,5467.75,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-14 00:00:00,8717.54,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-13 00:00:00,10351.5,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-12 00:00:00,9703.79,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-11 00:00:00,8897.12,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-10 00:00:00,9125.29,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-09 00:00:00,8925.12,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-08 00:00:00,5557.17,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-07 00:00:00,11407.9,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-06 00:00:00,10411.8,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-05 00:00:00,10708.9,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-04 00:00:00,9782,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-03 00:00:00,9334.71,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-02 00:00:00,10304.7,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-03-01 00:00:00,6896.12,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-28 00:00:00,7464.5,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-27 00:00:00,7690.08,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-26 00:00:00,7389.33,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-25 00:00:00,7369.25,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-24 00:00:00,8566.33,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-23 00:00:00,7338.17,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-22 00:00:00,6615.79,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-21 00:00:00,8148.58,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-20 00:00:00,7305.75,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-19 00:00:00,7526.83,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-18 00:00:00,7010.96,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-17 00:00:00,7142.54,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-16 00:00:00,7876.79,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-15 00:00:00,6417.88,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-14 00:00:00,7659.75,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-13 00:00:00,7452.88,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-12 00:00:00,7307.54,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-11 00:00:00,7096.75,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-10 00:00:00,7116.83,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-09 00:00:00,7327.88,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-08 00:00:00,3617.62,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-07 00:00:00,8110.33,cubic feet per second
