# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River Below McIntyre Park,AZ,33.5164,-114.5692,US/Mountain,,,,0,,,,stream,,LC,bmplc,
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-05-03 00:00:00,8728.5,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-05-02 00:00:00,8791.5,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-05-01 00:00:00,9688.92,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-30 00:00:00,10946.2,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-29 00:00:00,11381.8,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-28 00:00:00,10726.5,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-27 00:00:00,8618.92,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-26 00:00:00,9841.25,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-25 00:00:00,10239.1,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-24 00:00:00,9982.62,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-23 00:00:00,10622.3,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-22 00:00:00,10865.7,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-21 00:00:00,10772.3,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-20 00:00:00,9563.04,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-19 00:00:00,10646.7,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-18 00:00:00,11225.6,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-17 00:00:00,11716.8,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-16 00:00:00,12026.8,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-15 00:00:00,11807.8,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-14 00:00:00,10831.7,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-13 00:00:00,9622.08,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-12 00:00:00,9859.08,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-11 00:00:00,9681.46,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-10 00:00:00,10480,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-09 00:00:00,12712.5,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-08 00:00:00,12219.4,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-07 00:00:00,11244.4,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-06 00:00:00,8185.12,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-05 00:00:00,11828.6,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-04 00:00:00,11151,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-03 00:00:00,11048.5,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-02 00:00:00,10276.1,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-04-01 00:00:00,9588.79,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-03-31 00:00:00,9767.79,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-03-30 00:00:00,8656.71,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-03-29 00:00:00,11108.8,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-03-28 00:00:00,10199.2,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-03-27 00:00:00,9843.25,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-03-26 00:00:00,10345.6,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-03-25 00:00:00,10671.6,cubic feet per second
